subj,gender0m1f,Date,Time,Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,Weekday
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:00:00,37,0,9,8,0,0,0,0,180,38.08,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:03:00,3,0,1,4,0,10,0,0,170,3.16,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:06:00,81,12,9,4,0,0,5,0,175,82.38,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:09:00,0,0,0,0,0,0,0,0,180,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:12:00,41,1,3,2,0,0,5,0,175,41.12,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:15:00,0,0,0,0,0,90,0,0,90,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:18:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:21:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:24:00,187,160,33,3,0,140,10,30,0,248.31,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:27:00,13,23,11,2,0,0,0,180,0,28.62,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:30:00,49,180,64,4,0,0,5,175,0,197.22,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:33:00,35,96,69,2,0,5,0,175,0,123.3,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:36:00,0,0,0,0,0,30,0,150,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:39:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:42:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:45:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:48:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:51:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:54:00,0,0,0,0,0,180,0,0,0,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,00:57:00,177,148,91,9,0,75,5,0,100,248.02,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,01:00:00,2,0,0,0,0,0,0,0,180,2,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,01:03:00,0,0,0,0,0,125,0,0,55,0,Sat
KN_2018-06-12,0,2018-06-15T23:00:00Z,01:06:00,0,0,0,0,0,180,0,0,0,0,Sat
