subj,gender0m1f,Date,Time,Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,Weekday
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:00:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:03:00,567,316,238,12,0,25,25,90,40,691.37,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:06:00,7,6,0,13,0,0,0,0,180,9.22,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:09:00,40,16,0,3,0,1,0,0,179,43.08,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:12:00,141,67,20,5,0,0,5,0,175,157.38,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:15:00,0,0,0,0,0,0,0,0,180,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:18:00,34,2,0,2,0,80,0,0,100,34.06,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:21:00,472,485,90,13,0,6,30,34,110,682.72,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:24:00,1694,839,1747,37,0,0,60,115,5,2574.02,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:27:00,2019,1450,3985,64,0,0,110,60,10,4696.71,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:30:00,492,479,1551,30,0,0,30,150,0,1696.2,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:33:00,951,709,2298,46,0,0,55,125,0,2586.09,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:36:00,904,743,2573,35,0,0,50,130,0,2826.59,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:39:00,2272,475,2557,24,0,0,35,145,0,3453.38,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:42:00,526,410,664,15,0,0,25,125,30,941.1,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:45:00,957,831,1139,33,0,0,40,101,39,1704.03,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:48:00,45,56,8,9,0,0,0,170,10,72.28,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:51:00,0,7,0,0,0,0,0,169,11,7,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:54:00,0,0,0,0,0,10,0,1,169,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,00:57:00,10,3,0,3,0,45,0,42,93,10.44,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:00:00,0,0,0,1,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:03:00,9,5,2,4,0,0,0,180,0,10.49,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:06:00,0,0,0,1,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:09:00,27,3,4,2,0,40,0,138,2,27.46,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:12:00,5,0,0,2,0,0,0,178,2,5,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:15:00,185,224,253,9,0,0,10,155,15,385.24,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:18:00,195,185,104,19,0,0,15,0,165,288.21,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:21:00,0,0,0,1,0,0,0,0,180,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:24:00,311,121,29,12,0,141,15,2,22,334.97,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:27:00,374,42,57,31,0,135,10,35,0,380.64,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:30:00,22,0,11,33,0,0,0,180,0,24.6,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:33:00,1213,946,1360,37,0,0,50,130,0,2053.26,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:36:00,214,156,358,19,0,0,15,165,0,445.3,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:39:00,0,1,14,2,0,95,0,85,0,14.04,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:42:00,0,2,6,1,0,0,0,180,0,6.32,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:45:00,0,0,0,0,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:48:00,830,161,428,6,0,35,20,120,5,947.63,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:51:00,0,0,0,0,0,35,0,145,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:54:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,01:57:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:00:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:03:00,179,57,88,1,0,170,10,0,0,207.45,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:06:00,0,0,0,0,0,0,0,0,180,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:09:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:12:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:15:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:18:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:21:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:24:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:27:00,228,109,313,3,0,145,10,20,5,402.29,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:30:00,0,0,0,0,0,5,0,175,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:33:00,0,0,0,0,0,5,0,175,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:36:00,0,0,0,0,0,65,0,115,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:39:00,71,148,222,4,0,55,5,120,0,276.1,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:42:00,4,4,13,1,0,0,0,180,0,14.18,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:45:00,3,0,15,0,0,0,0,180,0,15.3,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:48:00,184,275,274,8,0,0,5,93,82,429.6,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:51:00,0,0,0,0,0,35,0,0,145,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:54:00,11,1,0,4,0,5,0,0,175,11.05,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,02:57:00,0,0,0,0,0,0,0,0,180,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:00:00,0,0,0,0,0,120,0,0,60,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:03:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:06:00,0,0,0,0,0,130,0,0,50,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:09:00,0,0,0,0,0,45,0,0,135,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:12:00,0,0,0,0,0,140,0,0,40,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:15:00,0,0,0,0,0,35,0,0,145,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:18:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:21:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:24:00,18,0,0,0,0,145,0,0,35,18,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:27:00,2,0,0,2,0,0,0,0,180,2,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:30:00,58,54,0,1,0,0,5,0,175,79.25,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:33:00,0,0,0,0,0,130,0,0,50,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:36:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:39:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:42:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:45:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:48:00,7,6,1,2,0,165,0,0,15,9.27,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:51:00,13,18,1,2,0,0,0,0,180,22.23,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:54:00,0,0,0,0,0,45,0,0,135,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,03:57:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:00:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:03:00,0,0,0,2,0,85,0,0,95,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:06:00,0,0,0,0,0,0,0,0,180,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:09:00,0,0,0,1,0,115,0,0,65,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:12:00,0,0,0,0,0,40,0,0,140,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:15:00,6,1,0,0,0,165,0,10,5,6.08,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:18:00,0,0,0,2,0,0,0,106,74,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:21:00,112,187,5,5,0,0,10,170,0,218.03,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:24:00,883,275,445,14,0,0,15,165,0,1026.32,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:27:00,1763,1282,1674,21,0,0,45,35,100,2748.45,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:30:00,0,0,0,0,0,95,0,0,85,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:33:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:36:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:39:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:42:00,9,6,0,1,0,177,0,0,3,10.82,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:45:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:48:00,329,185,276,4,0,170,5,5,0,467.59,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:51:00,0,0,0,0,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:54:00,219,453,425,5,0,85,10,85,0,658.63,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,04:57:00,1,3,88,1,0,0,0,180,0,88.06,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:00:00,0,0,0,0,0,20,0,160,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:03:00,0,0,0,0,0,120,0,60,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:06:00,0,0,0,0,0,55,0,125,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:09:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:12:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:15:00,12,0,27,0,0,95,0,85,0,29.55,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:18:00,0,0,0,0,0,75,0,105,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:21:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:24:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:27:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:30:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:33:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:36:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:39:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:42:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:45:00,3,26,58,2,0,75,0,105,0,63.63,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:48:00,0,0,5,0,0,40,0,140,0,5,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:51:00,0,0,0,0,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:54:00,0,0,0,0,0,65,0,115,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,05:57:00,705,601,674,24,0,124,30,10,16,1145.64,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:00:00,90,152,78,19,0,29,5,119,27,193.1,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:03:00,159,107,154,6,0,0,10,170,0,245.86,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:06:00,0,0,0,0,0,15,0,165,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:09:00,0,0,0,0,0,180,0,0,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:12:00,0,0,0,0,0,105,0,75,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:15:00,0,0,0,0,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:18:00,0,0,0,0,0,70,0,110,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:21:00,3,0,8,0,0,65,0,115,0,8.54,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:24:00,75,32,48,5,0,25,5,150,0,94.62,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:27:00,0,0,0,0,0,0,0,180,0,0,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:30:00,131,99,64,13,0,0,5,175,0,176.23,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:33:00,13,5,1,7,0,0,0,180,0,13.96,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:36:00,531,266,432,15,0,2,35,119,24,734.4,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:39:00,1153,970,1573,50,0,0,45,112,23,2178.22,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:42:00,33,2,1,2,0,0,0,23,157,33.08,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:45:00,1499,910,1515,35,0,7,50,49,74,2317.4,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:48:00,923,337,948,17,0,0,40,134,6,1365.36,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:51:00,192,186,54,12,0,0,5,158,17,272.72,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:54:00,1685,984,1345,36,0,0,65,112,3,2369.92,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,06:57:00,1546,1550,2847,65,0,0,55,125,0,3591.38,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:00:00,573,478,1234,33,0,0,20,140,20,1442.07,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:03:00,575,604,1027,23,0,0,25,155,0,1322.94,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:06:00,50,3,34,9,0,0,0,180,0,60.54,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:09:00,51,6,39,16,0,0,5,175,0,64.48,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:12:00,462,221,483,13,0,0,25,146,9,703.97,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:15:00,706,782,1251,33,0,0,30,150,0,1635.53,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:18:00,1948,1342,2133,48,0,0,65,27,88,3185.18,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:21:00,268,481,430,10,0,0,10,167,3,698.63,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:24:00,1,0,1,0,0,15,0,165,0,1.41,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:27:00,41,16,92,10,0,0,0,180,0,101.99,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:30:00,3,3,8,2,0,0,0,180,0,9.06,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:33:00,8,0,3,2,0,0,0,180,0,8.54,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:36:00,24,19,30,7,0,0,0,180,0,42.86,Thu
KN_2018-06-12,0,2018-06-13T23:00:00Z,07:39:00,111,39,53,13,0,0,5,175,0,129.04,Thu
