subj,gender0m1f,Date,Time,Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,Weekday
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:00:00,0,0,0,0,0,80,0,0,100,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:03:00,0,0,0,0,0,130,0,0,50,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:06:00,197,247,496,8,0,120,10,15,35,588.08,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:09:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:12:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:15:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:18:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:21:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:24:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:27:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:30:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:33:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:36:00,3,0,0,0,0,180,0,0,0,3,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:39:00,40,75,5,2,0,175,5,0,0,85.15,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:42:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:45:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:48:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:51:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:54:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,00:57:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:00:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:03:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:06:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:09:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:12:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:15:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:18:00,0,0,0,0,0,180,0,0,0,0,Wed
KN_2018-06-12,0,2018-06-12T23:00:00Z,01:21:00,0,0,0,0,0,180,0,0,0,0,Wed
